model,scene_label,truth,run,load_ms,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
claude,door_open,safe,5,0.47,161.84,6723.5,6885.8,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,897,130,0.004641,"Description: The image shows a large open industrial or office space with high ceilings, glass partitions/windows, and metal shelving/racking visible in the background. The YOLO-detected window at ~2.46m is a glass partition structure that appears navigable with open space beyond it.

Proximity: The glass partitions and structural elements appear to be approximately 2-4m away visually, consistent with the YOLO estimate. The path ahead at ~1m altitude looks open through the glass partition framework.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gpt4o,door_open,safe,5,0.47,161.84,3148.8,3311.1,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,764,76,0.00496,"Description: The image shows an open room with a glass partition or window on the right side. The room appears well-lit and spacious, with no immediate obstacles at the drone's flight altitude.
Proximity: The glass partition is approximately 2-3 meters away, and there are no obstacles directly in the flight path.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,5,0.47,161.84,3275.4,3437.7,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,3531,91,0.000584,"Description: The image shows an open room with glass partitions and a clear path ahead. The YOLO detection indicates a window, but the estimated distance seems inaccurate as the window appears to be further than 2m away. There are no visible obstacles in the flight path at ~1m altitude.  
Proximity: Approximately 2.5m to 3m from the nearest object.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,5,0.47,161.84,6752.9,6915.2,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,972,107,0.000105,"Description: I see an open doorway or partition on the right, leading into a larger room with what appears to be tables or equipment. The YOLO detection of ""window"" with an estimated distance of 2.46m seems to refer to this open area, which is navigable. The CLIP label ""open room safe path"" aligns with the visual assessment.
Proximity: The open doorway/partition is immediately to the right, but the path ahead appears clear.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,person_far,caution,1,0.52,145.75,6416.8,6563.1,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,936,166,0.005298,"Description: The image shows an industrial/workshop interior with a person standing centrally in the background near shelving units and machinery; the scene is somewhat dim and cluttered. YOLO reports the person at ~0.57m which contradicts the visual — the person appears to be roughly 4-6m away based on their small stature and position deep in the room.

Proximity: Person is visually estimated at ~4-6m away (YOLO distance estimate is unreliable here due to bounding-box heuristics on a small, distant figure). The chair on the left is closer but appears to be at floor level off to the side, not blocking the ~1m altitude flight corridor.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,person_far,caution,1,0.52,145.75,2864.8,3011.1,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,802,75,0.005135,"Description: The image shows a cluttered room with various objects and a person standing in the background. There is a chair to the left, and the room appears to have shelves and equipment.
Proximity: The person appears to be more than 3 meters away based on visual assessment, despite YOLO's estimate.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,1,0.52,145.75,3275.3,3421.6,2,yolo-world,cluttered room obstacles,caution,0.2133,safe,0,4,3569,104,0.000598,"Description: The image shows a cluttered room with a person standing in the background and a chair nearby. The YOLO detection indicates the person is approximately 0.57m away, but visually they appear to be further back, likely more than 3m away, which contradicts the estimate. The scene is somewhat dimly lit but not completely dark. 

Proximity: The person appears to be more than 3m away based on visual assessment.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gemini,person_far,caution,1,0.52,145.75,3790.9,3937.2,2,yolo-world,cluttered room obstacles,caution,0.2133,hazard,0,4,1019,81,0.000101,"Description: I see a person standing directly in front of the drone, appearing to block the path. A chair is visible to the left, below the drone's flight path. The CLIP label of ""cluttered room obstacles"" is consistent with the scene.
Proximity: The person is very close, likely within 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,person_far,caution,2,0.48,147.77,7677.7,7825.9,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,936,184,0.005568,"Description: The image shows an industrial/workshop interior with a person standing in the center-background area near shelving/storage units, and a white plastic chair to the left foreground. The YOLO estimate of ~0.57m for the person is clearly wrong — the person appears visually to be roughly 4-6m away based on their small stature relative to the room; the chair is closer but appears to be at floor level off to the left side, not directly in the 1m flight corridor ahead.

Proximity: Person visually estimated at ~4-6m (YOLO heuristic of 0.57m is inaccurate); chair is ~1-2m to the left at floor level, not blocking the central flight path at 1m altitude.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,person_far,caution,2,0.48,147.77,2670.3,2818.6,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,802,70,0.00506,"Description: The image shows a cluttered room with a person standing in the center and a chair to the left. The room has various objects and furniture, creating a cluttered environment.
Proximity: The person appears to be more than 1 meter away, despite the YOLO estimate.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,2,0.48,147.77,3124.8,3273.1,2,yolo-world,cluttered room obstacles,caution,0.2133,safe,0,4,3569,106,0.000599,"Description: The image shows a cluttered room with a person standing in the center and a chair to the left. The YOLO detection indicates the person is approximately 0.57m away, but visually they appear to be further back, likely more than 3m away, which contradicts the estimate. The scene is somewhat dimly lit but not completely dark. 

Proximity: The person appears to be more than 3m away based on visual assessment.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gemini,person_far,caution,2,0.48,147.77,2113.0,2261.2,2,yolo-world,cluttered room obstacles,caution,0.2133,hazard,0,4,1019,81,0.000101,"Description: I see a person standing directly in front of the drone, appearing to block the path. A chair is visible to the left, below the drone's flight path. The CLIP label of ""cluttered room obstacles"" is consistent with the scene.
Proximity: The person is very close, likely within 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,person_far,caution,3,0.58,145.23,6449.3,6595.1,2,yolo-world,cluttered room obstacles,caution,0.2133,hazard,0,4,936,180,0.005508,"Description: The image shows an industrial/workshop room with a person standing in the center-background area near shelving units and machinery; the scene is somewhat dim and cluttered with equipment on both sides. YOLO reports the person at ~0.57m, but visually they appear much farther away — approximately 4-6m — making the YOLO estimate unreliable due to bounding-box heuristics on a distant subject.

Proximity: The person appears visually to be approximately 4-6m away (far background), well beyond the 1m hazard threshold. The chair on the left is at floor level and not in the 1m altitude flight corridor. The path ahead at ~1m altitude appears relatively open toward the center of the room.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,person_far,caution,3,0.58,145.23,2558.8,2704.6,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,802,63,0.004955,"Description: The image shows a cluttered room with various objects and furniture. A person is standing in the center, and a chair is visible to the left.
Proximity: The person appears to be more than 3 meters away based on visual assessment.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,3,0.58,145.23,2969.4,3115.2,2,yolo-world,cluttered room obstacles,caution,0.2133,safe,0,4,3569,106,0.000599,"Description: The image shows a cluttered room with a person standing in the center and a chair to the left. The YOLO detection indicates the person is approximately 0.57m away, but visually they appear to be further back, likely more than 3m away, which contradicts the estimate. The scene is somewhat dimly lit but not completely dark. 

Proximity: The person appears to be more than 3m away based on visual assessment.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gemini,person_far,caution,3,0.58,145.23,3587.9,3733.7,2,yolo-world,cluttered room obstacles,caution,0.2133,hazard,0,4,1019,81,0.000101,"Description: I see a person standing directly in front of the drone, appearing to block the path. A chair is visible to the left, below the drone's flight path. The CLIP label of ""cluttered room obstacles"" is consistent with the scene.
Proximity: The person is very close, likely within 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,person_far,caution,4,0.52,144.53,6919.5,7064.6,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,936,173,0.005403,"Description: The image shows an industrial/workshop interior with a person standing in the center-background area near what appears to be shelving units or equipment racks, and a white plastic chair visible on the left foreground. The YOLO estimate of ~0.57m for the person is clearly incorrect — visually the person appears to be approximately 4-6 meters away, standing small in the mid-to-far background.

Proximity: The person is visually estimated at ~4-6m away (YOLO distance heuristic is unreliable here). The chair on the left is closer, roughly 1.5-2m, but positioned to the side and not directly in the forward flight path at ~1m altitude.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,person_far,caution,4,0.52,144.53,2864.3,3009.4,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,802,63,0.004955,"Description: The image shows a cluttered room with various objects and furniture. A person is standing in the center, and a chair is visible to the left.
Proximity: The person appears to be more than 3 meters away based on visual assessment.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,4,0.52,144.53,3274.8,3419.9,2,yolo-world,cluttered room obstacles,caution,0.2133,safe,0,4,3569,109,0.000601,"Description: The image shows a cluttered room with a person standing in the background and a chair nearby. The YOLO detection estimates for the person and chair suggest they are closer than they appear visually, as the person looks to be more than 3m away. The scene is somewhat cluttered but not dark or blocked. 

Proximity: The person appears to be more than 3m away, and the chair is not obstructing the flight path at ~1m altitude.

Risk: safe  
Pilot suggested action: PITCH_FORWARD",
gemini,person_far,caution,4,0.52,144.53,6364.7,6509.8,2,yolo-world,cluttered room obstacles,caution,0.2133,hazard,0,4,1019,81,0.000101,"Description: I see a person standing directly in front of the drone, appearing to block the path. A chair is visible to the left, below the drone's flight path. The CLIP label of ""cluttered room obstacles"" is consistent with the scene.
Proximity: The person is very close, likely within 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,person_far,caution,5,0.59,145.01,6705.3,6850.9,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,936,157,0.005163,"Description: The image shows an indoor workshop/factory space with a person standing in the center-background area, shelving units and machinery behind them, and a plastic chair visible on the left foreground. The YOLO estimate of ~0.57m for the person is clearly wrong — the person appears visually to be approximately 4-6m away based on their small relative size and position deep in the scene.

Proximity: Person is visually ~4-6m away (far background); chair is on the left side at roughly 1-2m but appears to be at floor level and off to the side, not directly in the 1m flight corridor ahead.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,person_far,caution,5,0.59,145.01,2660.0,2805.6,2,yolo-world,cluttered room obstacles,caution,0.2133,caution,1,5,802,65,0.004985,"Description: The image shows a cluttered room with various objects and furniture. A person is standing in the background, and a chair is visible to the left.
Proximity: The person appears to be more than 3 meters away, despite the YOLO estimate.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,5,0.59,145.01,8193.4,8339.0,2,yolo-world,cluttered room obstacles,caution,0.2133,safe,0,4,3569,99,0.000595,"Description: The image shows a cluttered room with a person standing in the background and a chair nearby. The YOLO detection indicates the person is approximately 0.57m away, but visually they appear to be further back, likely more than 3m away. The scene is somewhat cluttered but not dark or obstructed. 

Proximity: The person appears to be more than 3m away based on visual assessment.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gemini,person_far,caution,5,0.59,145.01,2565.4,2711.0,2,yolo-world,cluttered room obstacles,caution,0.2133,hazard,0,4,1019,81,0.000101,"Description: I see a person standing directly in front of the drone, appearing to block the path. A chair is visible to the left, below the drone's flight path. The CLIP label of ""cluttered room obstacles"" is consistent with the scene.
Proximity: The person is very close, likely within 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,blocked_lens,hazard,1,1.4,154.31,5372.9,5528.6,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,864,116,0.004332,"Description: The image shows what appears to be pure visual noise/static — a randomized green, blue, and red pixel pattern consistent with a blocked or malfunctioning camera lens. There is no discernible scene, and CLIP confirms uncertainty with very low confidence (0.20), suggesting the lens is fully covered or the sensor is producing garbage data.

Proximity: Unable to assess — no visual scene information is available. The lens appears fully blocked, making proximity estimation impossible.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,blocked_lens,hazard,1,1.4,154.31,2866.7,3022.4,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,731,49,0.00439,"Description: The image appears to be mostly dark with a grainy texture, suggesting a possible covered or blocked lens.
Proximity: Unable to visually estimate due to lack of visible details.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
gpt4o_mini,blocked_lens,hazard,1,1.4,154.31,3172.6,3328.3,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,caution,0,4,3498,93,0.00058,"Description: The image appears to be dark and grainy, with no clear visual features identifiable. YOLO detections indicate none, and the CLIP label suggests uncertainty due to darkness or a covered lens. This aligns with the visual assessment of the image being unclear. 

Proximity: The visual evidence does not provide any clear indication of nearby obstacles or persons, but the lack of visibility suggests caution is warranted.

Risk: caution  
Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,1,1.4,154.31,6651.9,6807.6,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,931,59,8.8e-05,"Description: The image is completely dark and obscured by visual noise, making it impossible to discern any objects or the environment. CLIP's label of ""uncertain (dark or covered lens)"" is consistent with the image.
Proximity: Unknown
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,2,0.54,164.45,5070.9,5235.9,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,864,111,0.004257,"Description: The image shows complete visual noise/static with no discernible scene content — the lens appears fully blocked or the camera sensor is malfunctioning, producing only random pixel noise across the entire frame. CLIP's ""dark or covered lens"" label with very low confidence (0.2035) aligns with this assessment, and YOLO detected nothing meaningful.

Proximity: Unable to assess — no visual information is recoverable from this frame.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,blocked_lens,hazard,2,0.54,164.45,2659.9,2824.9,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,731,49,0.00439,"Description: The image appears to be mostly dark with a grainy texture, suggesting a possible covered or blocked lens.
Proximity: Unable to visually estimate due to lack of visible details.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
gpt4o_mini,blocked_lens,hazard,2,0.54,164.45,3071.4,3236.4,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,caution,0,4,3498,95,0.000582,"Description: The image appears to be dark and grainy, with no clear visual features identifiable. YOLO detections indicate none, and the CLIP label suggests uncertainty due to darkness or a covered lens. This aligns with the visual assessment of the image being unclear. 

Proximity: The visual evidence does not provide any clear indication of nearby obstacles or persons, but the darkness makes it difficult to assess the environment accurately.

Risk: caution  
Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,2,0.54,164.45,3587.4,3752.4,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,931,58,8.7e-05,"Description: The image is completely dark and obscured by static, making it impossible to discern any objects or the environment. CLIP's label of ""uncertain (dark or covered lens)"" is consistent with the image.
Proximity: Unknown
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,3,0.53,146.14,5819.1,5965.8,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,864,118,0.004362,"Description: The image shows heavy visual noise/static (green, blue, red pixel interference) across the entire frame, consistent with a blocked, covered, or malfunctioning camera lens — no scene features are discernible. CLIP confirms uncertainty with a ""dark or covered lens"" label, and YOLO detected nothing, both consistent with the visual evidence.

Proximity: Unable to assess — the lens appears fully obscured or the sensor is producing noise with no usable visual information.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,blocked_lens,hazard,3,0.53,146.14,3027.7,3174.4,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,731,49,0.00439,"Description: The image appears to be mostly dark with a grainy texture, suggesting a possible covered or blocked lens.
Proximity: Unable to visually estimate due to lack of visible details.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
gpt4o_mini,blocked_lens,hazard,3,0.53,146.14,2600.0,2746.7,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,caution,0,4,3498,88,0.000577,"Description: The image appears to be dark and grainy, with no clear visual features identifiable. YOLO detections indicate none, and the CLIP label suggests uncertainty due to darkness or a covered lens. This aligns with the visual assessment of the image being unclear. 

Proximity: The visual evidence does not provide any identifiable objects or persons, making it difficult to estimate proximity accurately.

Risk: caution

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,3,0.53,146.14,1733.8,1880.5,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,931,58,8.7e-05,"Description: The image is completely dark and obscured by static, making it impossible to discern any objects or the environment. CLIP's label of ""uncertain (dark or covered lens)"" is consistent with the image.
Proximity: Unknown
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,4,0.5,142.25,4662.4,4805.1,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,864,94,0.004002,"Description: The image shows pure visual noise/static with no discernible scene content — the lens appears to be fully blocked or covered, producing only random pixel patterns. CLIP's ""dark or covered lens"" label aligns with this assessment, and YOLO detected nothing.

Proximity: Unable to assess — lens is fully obstructed, no visual depth information available.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,blocked_lens,hazard,4,0.5,142.25,2311.3,2454.1,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,731,49,0.00439,"Description: The image appears to be mostly dark with a grainy texture, suggesting a possible covered or blocked lens.
Proximity: Unable to visually estimate due to lack of visible details.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
gpt4o_mini,blocked_lens,hazard,4,0.5,142.25,3315.2,3457.9,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,caution,0,4,3498,93,0.00058,"Description: The image appears to be dark and grainy, with no clear visual features identifiable. YOLO detections indicate none, and the CLIP label suggests uncertainty due to darkness or a covered lens. This aligns with the visual assessment of the image being unclear. 

Proximity: The visual evidence does not provide any clear indication of nearby obstacles or persons, but the lack of visibility suggests caution is warranted.

Risk: caution  
Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,4,0.5,142.25,1952.3,2095.1,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,931,58,8.7e-05,"Description: The image is completely dark and obscured by static, making it impossible to discern any objects or the environment. CLIP's label of ""uncertain (dark or covered lens)"" is consistent with the image.
Proximity: Unknown
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,5,0.57,144.36,4873.9,5018.8,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,864,111,0.004257,"Description: The image shows what appears to be pure static/noise with no discernible scene content — the lens appears fully blocked or the camera feed is completely corrupted. CLIP confirms uncertainty with very low confidence (0.2035), and YOLO detects nothing. This is not a dark-but-visible scene; there is zero usable visual information.

Proximity: Unable to assess — no visual data available to estimate proximity to any obstacle.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,blocked_lens,hazard,5,0.57,144.36,3068.0,3212.9,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,731,49,0.00439,"Description: The image appears to be mostly dark with a grainy texture, suggesting a possible covered or blocked lens.
Proximity: Unable to visually estimate due to lack of clear visual information.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,5,0.57,144.36,3786.9,3931.8,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,caution,0,4,3498,88,0.000577,"Description: The image appears to be dark and grainy, with no clear visual features identifiable. YOLO detections indicate none, and the CLIP label suggests uncertainty due to darkness or a covered lens. This aligns with the visual assessment of the image being unclear. 

Proximity: Visual evidence suggests that the drone is likely in a dark environment, but no immediate obstacles are visible.

Risk: caution

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,5,0.57,144.36,1753.0,1897.9,0,yolo-world,uncertain (dark or covered lens),unknown,0.2035,hazard,1,5,931,58,8.7e-05,"Description: The image is completely dark and obscured by static, making it impossible to discern any objects or the environment. CLIP's label of ""uncertain (dark or covered lens)"" is consistent with the image.
Proximity: Unknown
Risk: hazard
Pilot suggested action: HOVER",
