model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
gpt4o_mini,door_open,safe,1,0.57,41.2,safe,285.02,3900.7,4227.5,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,87,0.000589,"Description: The image shows an indoor environment with a clear path and no visible obstacles directly in the flight path. There are tables and equipment in the background, but they do not obstruct the corridor. The lighting appears adequate for navigation.

Sensor note: consistent
Proximity: The closest object appears to be more than 2 meters away based on visual assessment and depth_m data.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,1,0.57,41.2,safe,285.02,2256.5,2583.3,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,180,0.000133,"Description: The image shows an indoor environment with a partially open door or partition on the right, and a long corridor or room extending into the distance on the left. The flight path at ~1m appears clear directly ahead, though there are structures and furniture further back.
Sensor note: The YOLO detections of 'train' and 'window' are not visually apparent as direct obstacles in the immediate flight path. The 'window' detection might refer to the glass partition on the right. The local detector's brightness assessment seems consistent with the image.
Proximity: The closest significant structure appears to be the open door/partition on the right, visually estimated to be around 1-1.5m away. The YOLO 'window' detection at 3.2m seems to refer to a further part of this structure.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,2,0.53,31.54,safe,282.64,8670.3,8985.0,0,yolo-world,disabled,disabled,0.0,caution,0,3,1002,288,0.007326,"Description: The image shows a large indoor industrial or warehouse-like space with metal shelving/racking structures, glass partitions, and high ceilings; the flight path at approximately 1m altitude appears open with no immediate obstructions directly ahead, though structural elements are present throughout the space.
Sensor note: The YOLO ""train"" detection (conf=0.22, depth 3.6m) is likely a misclassification of the shelving/racking structures — no actual train is visible. The ""window"" detection (conf=0.34) is plausible given the glass partition visible at the left edge. No persons detected, consistent with visual analysis.
Proximity: Closest structural elements (shelving frames, glass partitions) appear to be approximately 2–3m away, broadly consistent with sensor depth readings of 3.2–3.6m.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** While the central corridor appears navigable, the cluttered shelving environment, moderate lighting (brightness 119/255), and numerous structural obstacles at varying depths warrant a cautious hover to allow better situational assessment before proceeding. The low-confidence YOLO detections suggest sensor uncertainty in this complex structural environment, reinforcing a conservative hold before committing to forward flight.",
gpt4o,door_open,safe,2,0.53,31.54,safe,282.64,2982.8,3297.5,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,92,0.005455,"Description: The image shows an indoor space with tables and a partially open door. The area appears clear at ~1m altitude, with no immediate obstacles blocking the flight path.
Sensor note: Consistent with sensor data; detected objects (train, window) are not obstructing the path.
Proximity: Closest object is the door at approximately 3.2m, consistent with depth_m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,2,0.53,31.54,safe,282.64,3582.5,3897.2,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,79,0.000585,"Description: The image shows an indoor environment with a clear path and no visible obstacles directly in the flight path. There are tables and equipment in the background, but they do not obstruct the corridor. The lighting appears adequate for navigation.

Sensor note: consistent
Proximity: The closest object appears to be more than 2 meters away.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,2,0.53,31.54,safe,282.64,2240.0,2554.7,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,176,0.000132,"Description: The image shows an indoor office or industrial space with a partially open glass door on the right. The flight path appears clear at ~1m altitude, with objects visible further back in the room.
Sensor note: YOLO detected a 'window' which is consistent with the glass door/partition on the right. The 'train' detection is likely a false positive or refers to the general structure in the background, as no actual train is visible. The local detector's brightness assessment is consistent with the image.
Proximity: The closest visible object is the open glass door frame on the right, visually estimated to be around 1-1.5m away. YOLO's 'window' detection at 3.2m seems to refer to the further glass partition rather than the immediate door.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,3,0.55,38.27,safe,281.32,7992.2,8312.3,0,yolo-world,disabled,disabled,0.0,caution,0,4,1002,240,0.006606,"Description: The image shows a large indoor industrial or warehouse-like space with metal-framed glass partitions/walls in the foreground and an open area extending beyond; the space appears well-lit with fluorescent lighting and no persons or immediate obstacles visible at ~1m flight altitude.
Sensor note: YOLO reports a 'train' detection (conf=0.22, likely a false positive or misclassification of industrial shelving/equipment at 3.6m) and a 'window' detection consistent with the visible glass partition frames; no persons detected, consistent with visual analysis.
Proximity: The closest structural element is the glass/metal partition framework, visually estimated at approximately 1.5–2m ahead and to the sides; depth sensor reports 3.2–3.6m for detected objects, slightly farther than my visual estimate of the framing but broadly consistent.
Risk: caution
Pilot suggested action: HOVER — pause to assess clearance through the glass partition opening before proceeding; the narrow framed corridor ahead warrants careful navigation before committing to forward movement.",
gpt4o,door_open,safe,3,0.55,38.27,safe,281.32,2730.7,3050.8,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,87,0.00538,"Description: The image shows an indoor space with tables and a partially open door. The area appears clear with no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data; the detected train and window do not pose immediate risks.
Proximity: Closest object is approximately 3.2m away, consistent with depth_m readings.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,3,0.55,38.27,safe,281.32,3758.7,4078.8,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,91,0.000592,"Description: The image shows an indoor environment with a clear path and no visible obstacles directly in the flight path. There are tables and equipment in the background, but they do not obstruct the corridor. The lighting appears adequate, and there are no persons nearby. 

Sensor note: consistent 
Proximity: Closest object is approximately 2m away (based on visual assessment and depth_m data).
Risk: safe 
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,3,0.55,38.27,safe,281.32,2520.2,2840.3,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,180,0.000133,"Description: The image shows an indoor environment with a partially open door or partition on the right, and a long corridor or room extending into the distance on the left. The flight path at ~1m appears clear directly ahead, though there are structures and furniture further back.
Sensor note: The YOLO detections of 'train' and 'window' are not visually apparent as direct obstacles in the immediate flight path. The 'window' detection might refer to the glass partition on the right. The local detector's brightness assessment seems consistent with the image.
Proximity: The closest significant structure appears to be the open door/partition on the right, visually estimated to be around 1-1.5m away. The YOLO 'window' detection at 3.2m seems to refer to a further part of this structure.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,4,0.48,39.21,safe,291.24,9327.4,9658.3,0,yolo-world,disabled,disabled,0.0,caution,0,3,1002,299,0.007491,"Description: The image shows a large indoor industrial or warehouse-like space with metal-framed glass partitions/shelving structures in the foreground at approximately 1m altitude; the space beyond appears open with ceiling lights visible, but the immediate foreground has structural framing elements close to the camera.
Sensor note: YOLO reports a ""train"" detection (conf=0.22, likely a false positive or misclassification of industrial shelving/racking) and a ""window"" detection consistent with the glass partition structures visible; the depth readings of 3.2–3.6m seem plausible for the background space, but the metal framing visible in the immediate foreground appears closer than reported.
Proximity: The metal frame/partition structure visible at the edges of the frame appears to be within ~0.5–1m of the drone; background space is open at ~3m+.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The drone appears to be positioned very close to metal-framed glass partition structures — these are visible at the frame edges suggesting near-proximity obstacle risk. The background is open and navigable, but immediate lateral obstacles warrant pausing to assess clearance before proceeding. The scene brightness (119/255) is adequate. Recommend HOVER to stabilize and reassess heading before committing to forward flight through the structural framework.",
gpt4o,door_open,safe,4,0.48,39.21,safe,291.24,3244.6,3575.5,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,78,0.005245,"Description: The image shows an indoor space with tables and a partially open door. The area appears clear at the ~1m flight altitude.
Sensor note: Consistent with sensor data; detected objects are correctly identified as a train and window.
Proximity: Closest object is the door at approximately 3.2m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,4,0.48,39.21,safe,291.24,3378.1,3709.0,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,88,0.00059,"Description: The image shows an indoor environment with a clear path and no visible obstacles directly in the flight path. There are tables and equipment in the background, but they do not obstruct the corridor. The lighting appears adequate for navigation. 

Sensor note: consistent

Proximity: The closest object appears to be more than 2 meters away based on visual assessment and depth_m data.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,4,0.48,39.21,safe,291.24,2668.8,2999.7,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,176,0.000132,"Description: The image shows an indoor office or industrial space with a partially open glass door on the right. The flight path appears clear at ~1m altitude, with objects visible further back in the room.
Sensor note: YOLO detected a 'window' which is consistent with the glass door/partition on the right. The 'train' detection is likely a false positive or refers to the general structure in the background, as no actual train is visible. The local detector's brightness assessment is consistent with the image.
Proximity: The closest visible object is the open glass door frame on the right, visually estimated to be around 1-1.5m away. YOLO's 'window' detection at 3.2m seems to refer to the further glass partition rather than the immediate door.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,5,0.6,30.45,safe,280.85,6955.8,7267.7,0,yolo-world,disabled,disabled,0.0,caution,0,4,1002,201,0.006021,"Description: The image shows a large indoor industrial or warehouse-like space with glass/metal partition walls and shelving units; the flight path at ~1m altitude appears relatively open with no immediate obstacles blocking the corridor directly ahead.
Sensor note: The YOLO ""train"" detection (conf=0.22) is low-confidence and likely a misclassification — no train is visible; the ""window"" detection is consistent with the glass partition frames visible in the image. The scene is moderately lit (brightness 119/255), consistent with the image appearance.
Proximity: Closest structural elements are the glass partition frames and shelving visible at roughly 1–2m to the sides and ahead; the open corridor extends several metres forward. Cross-check with depth_m=3.2–3.6m is broadly consistent with mid-range structures.
Risk: caution
Pilot suggested action: PITCH_FORWARD",
gpt4o,door_open,safe,5,0.6,30.45,safe,280.85,2659.5,2971.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,815,89,0.00541,"Description: The image shows an indoor space with tables and a partially open door. The area appears clear at the ~1m altitude level, with no immediate obstacles blocking the flight path.
Sensor note: Consistent with sensor data; the detected train and window are not immediate hazards.
Proximity: Closest object is approximately 3.2m away, consistent with depth_m readings.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,5,0.6,30.45,safe,280.85,3481.1,3793.0,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,79,0.000585,"Description: The image shows an indoor environment with a clear path and no visible obstacles directly in the flight path. There are tables and equipment in the background, but they do not obstruct the corridor. The lighting appears adequate for navigation.

Sensor note: consistent
Proximity: The closest object appears to be more than 2 meters away.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,5,0.6,30.45,safe,280.85,2514.1,2826.0,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,176,0.000132,"Description: The image shows an indoor office or industrial space with a partially open glass door on the right. The flight path appears clear at ~1m altitude, with objects visible further back in the room.
Sensor note: YOLO detected a 'window' which is consistent with the glass door/partition on the right. The 'train' detection is likely a false positive or refers to the general structure in the background, as no actual train is visible. The local detector's brightness assessment is consistent with the image.
Proximity: The closest visible object is the open glass door frame on the right, visually estimated to be around 1-1.5m away. YOLO's 'window' detection at 3.2m seems to refer to the further glass partition rather than the immediate door.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,person_far,caution,1,1.54,35.53,hazard,276.2,9261.1,9574.4,0,yolo-world,disabled,disabled,0.0,caution,1,4,928,289,0.007119,"Description: The image shows an indoor workshop/factory space with a person standing roughly in the center-background of the frame, approximately 4–6 meters away, surrounded by shelving units, machinery, and general industrial clutter at floor level.
Sensor note: YOLO detected nothing, but the local detector flagged a person at est_dist=0.45m — this geometric fallback distance appears significantly overestimated in closeness; visually the person appears much farther away (~4–6m), not 0.45m. The local detector confidence is also low (0.391). Image overrides the 0.45m estimate.
Proximity: Closest significant object appears to be general floor-level clutter/furniture (chairs, tables) at roughly 2–3m; the person is visually estimated at ~4–6m — no immediate close obstacle blocking the ~1m flight corridor.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The scene is somewhat dim and cluttered at floor/table level with industrial equipment and furniture. While no object or person appears critically close, the low-light conditions, dense background clutter, and sensor inconsistency (spurious 0.45m person estimate) warrant a cautious hover while the environment is re-assessed before proceeding.",
gpt4o,person_far,caution,1,1.54,35.53,hazard,276.2,2657.9,2971.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,747,88,0.005055,"Description: The image shows an indoor environment with a person standing in the center, surrounded by furniture and equipment. The scene appears moderately cluttered but not overly obstructed.
Sensor note: The local detector identified a person at approximately 0.45m, which is consistent with the visual analysis.
Proximity: The person is visually estimated to be around 0.5m away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,1,1.54,35.53,hazard,276.2,3993.4,4306.7,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3514,104,0.000589,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45 meters away from the camera, and there are no significant obstacles directly in the flight path. 

Sensor note: Consistent with local detector indicating a person detected at 0.45m, but no YOLO detections reported.

Proximity: The closest object/person is the detected person at approximately 0.45 meters.

Risk: hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,1,1.54,35.53,hazard,276.2,1898.2,2211.5,0,yolo-world,disabled,disabled,0.0,hazard,0,4,975,80,9.7e-05,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual analysis confirms this.
Proximity: The person is visually estimated to be within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_far,caution,2,0.58,29.81,hazard,282.96,11308.6,11622.0,0,yolo-world,disabled,disabled,0.0,hazard,0,3,928,300,0.007284,"Description: The image shows an indoor workshop/factory space with a person standing roughly in the center-background of the frame, appearing to be several meters away; the scene is moderately dim with ceiling lighting, and there is general clutter including chairs, tables, and equipment at floor level.

Sensor note: YOLO detections returned none, but the local detector flagged a person (conf=0.391, est_dist=0.45m) — my visual analysis confirms a person IS present but they appear to be approximately 3–5m away, not 0.45m; the local detector's distance estimate appears to be a significant overestimate of proximity (geometric fallback heuristic unreliable here).

Proximity: Closest person is visually estimated at ~3–5m (center-background); nearest floor-level clutter (chair on left) is closer but below the ~1m flight corridor.

Risk: caution

Pilot suggested action: HOVER

**Reasoning:** The person is visually well beyond the 1m hazard threshold, so no immediate stop is required. However, the dim lighting, cluttered floor environment, and sensor inconsistencies (YOLO missing the person entirely, local detector giving an implausible distance) reduce confidence. Hovering in place is the prudent choice until the scene can be re-evaluated or the person's movement/intent is",
gpt4o,person_far,caution,2,0.58,29.81,hazard,282.96,2761.9,3075.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,747,90,0.005085,"Description: The image shows an indoor environment with a person standing in the center, surrounded by furniture and equipment. The scene appears moderately cluttered but not obstructive to a ~1m flight path.
Sensor note: Consistent with the local detector's identification of a person at approximately 0.45m.
Proximity: The person is visually estimated to be less than 1m away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,2,0.58,29.81,hazard,282.96,3698.5,4011.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3514,104,0.000589,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45 meters away from the camera, and there are no significant obstacles directly in the flight path. 

Sensor note: Consistent with local detector indicating a person detected at 0.45m, but no YOLO detections reported.

Proximity: The closest object/person is the detected person at approximately 0.45 meters.

Risk: Hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,2,0.58,29.81,hazard,282.96,2142.1,2455.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,975,80,9.7e-05,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual analysis confirms this.
Proximity: The person is visually estimated to be within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_far,caution,3,0.5,40.48,hazard,280.71,6951.0,7272.7,0,yolo-world,disabled,disabled,0.0,caution,1,5,928,214,0.005994,"Description: A person is standing in the center of the image inside what appears to be an industrial or workshop space, at an estimated moderate distance from the camera; the scene is dimly lit with visible clutter, shelving, and machinery in the background.
Sensor note: YOLO detections returned none, but the local detector flagged a person (conf=0.391, est_dist=0.45m) — visually the person appears farther than 0.45m (estimated ~3-5m based on apparent size and scene context), so the est_dist heuristic appears to be overestimating proximity; however, the person is clearly present and YOLO missed them entirely.
Proximity: Person visually estimated at approximately 3–5m away, centered in frame; no objects appear within the immediate ~1–2m flight corridor at ~1m altitude, though low-light conditions reduce confidence.
Risk: caution
Pilot suggested action: HOVER",
gpt4o,person_far,caution,3,0.5,40.48,hazard,280.71,2503.4,2825.1,0,yolo-world,disabled,disabled,0.0,hazard,0,4,747,91,0.0051,"Description: The image shows an indoor environment with a person standing in the center, surrounded by furniture and equipment. The scene appears moderately cluttered but not obstructed at the 1m flight path level.
Sensor note: Consistent with the local detector's identification of a person at approximately 0.45m.
Proximity: The person is visually estimated to be less than 1m away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,3,0.5,40.48,hazard,280.71,3590.9,3912.6,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3514,104,0.000589,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45 meters away from the camera, and there are no significant obstacles directly in the flight path. 

Sensor note: Consistent with local detector indicating a person detected at 0.45m, but no YOLO detections present.

Proximity: The closest object/person is the detected person at approximately 0.45 meters.

Risk: Hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,3,0.5,40.48,hazard,280.71,1686.1,2007.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,975,102,0.000104,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual analysis confirms this.
Proximity: The person is visually estimated to be very close, well within 1 meter. The local detector's estimate of 0.45m is consistent with this.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_far,caution,4,0.59,38.72,hazard,284.09,8176.7,8500.1,0,yolo-world,disabled,disabled,0.0,hazard,0,3,928,285,0.007059,"Description: A person is standing in the middle of an indoor industrial/workshop space at what appears to be moderate distance, with shelving units, machinery, and equipment visible in the background; the scene is somewhat dim but navigable.
Sensor note: YOLO detections returned none, but the local detector flagged a person (conf=0.391, est_dist=0.45m) — visually the person appears significantly farther than 0.45m, likely 3–5m away, so the est_dist geometric fallback is likely unreliable here. Person is confirmed present visually.
Proximity: Closest object is the person, visually estimated at approximately 3–5m away; the 0.45m est_dist from the local detector appears to be a geometric heuristic error and is overridden by visual analysis.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The room is moderately dim (brightness 129/255) and contains floor-level clutter, chairs, and equipment that could interfere with a ~1m flight path. The person appears well beyond the 1m hazard threshold visually, but the cluttered environment and low lighting warrant caution rather than free forward flight. Hovering allows reassessment before proceeding.",
gpt4o,person_far,caution,4,0.59,38.72,hazard,284.09,2557.5,2880.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,747,87,0.00504,"Description: The image shows an indoor environment with a person standing in the center, surrounded by furniture and equipment. The scene appears moderately cluttered but not overly obstructed.
Sensor note: The local detector identified a person at approximately 0.45m, which is consistent with the visual analysis.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,4,0.59,38.72,hazard,284.09,3996.2,4319.6,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3514,104,0.000589,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45 meters away from the camera, and there are no significant obstacles directly in the flight path. 

Sensor note: Consistent with local detector indicating a person detected at 0.45m, but YOLO detections show none.

Proximity: The closest object/person is the detected person at approximately 0.45 meters.

Risk: hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,4,0.59,38.72,hazard,284.09,2151.8,2475.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,975,102,0.000104,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual analysis confirms this.
Proximity: The person is visually estimated to be very close, well within 1 meter. The local detector's estimate of 0.45m is consistent with this.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_far,caution,5,0.54,40.11,hazard,286.78,8378.6,8706.0,0,yolo-world,disabled,disabled,0.0,caution,1,4,928,291,0.007149,"Description: The image shows an indoor industrial/workshop space with a person standing roughly in the center-background of the frame, approximately 3–5 meters away, surrounded by shelving units, machinery, and general workshop clutter at floor and table level.
Sensor note: YOLO detections report none, but the local detector (EfficientDet-Lite0) flagged a person at conf=0.391 with est_dist=0.45m — this distance estimate appears to be a bounding-box heuristic fallback and is inconsistent with the visual evidence; the person appears significantly farther than 0.45m. Visual analysis overrides the proximity estimate.
Proximity: Closest significant object visually estimated at ~2–3m (shelving/structures); the person appears ~3–5m away in the background. No obstacles appear to be within ~1–2m of the drone's likely position.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** While the person is not dangerously close and the ~1m flight corridor appears largely open, the cluttered workshop environment with shelving, machinery, and general floor-level obstacles warrants a cautious hold. The drone should hover and allow Tier 2/3 systems to refine the scene assessment before proceeding.",
gpt4o,person_far,caution,5,0.54,40.11,hazard,286.78,2142.0,2469.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,747,92,0.005115,"Description: The image shows an indoor environment with a person standing in the center, surrounded by furniture and equipment. The scene appears moderately cluttered but not obstructive to a ~1m flight path.
Sensor note: The local detector identified a person at 0.45m, which is consistent with the visual proximity.
Proximity: The person is visually estimated to be less than 1m away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,5,0.54,40.11,hazard,286.78,3894.8,4222.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3514,96,0.000585,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45 meters away from the camera, and there are no significant obstacles directly in the flight path. 

Sensor note: Consistent with local detector indicating a person detected at 0.45m.

Proximity: The closest object/person is the detected person at approximately 0.45 meters.

Risk: Hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,5,0.54,40.11,hazard,286.78,1849.4,2176.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,975,80,9.7e-05,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual analysis confirms this.
Proximity: The person is visually estimated to be within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,1,1.55,39.44,hazard,284.93,7864.8,8190.7,0,yolo-world,disabled,disabled,0.0,hazard,1,4,910,245,0.006405,"Description: The image shows heavy visual noise/static — the camera feed appears to be corrupted or the lens may be covered/obstructed, with a dark vignette around the edges and random green/red/blue pixel noise filling the frame. No discernible scene content, objects, or persons are visible.

Sensor note: YOLO detects nothing, consistent with an unreadable image; local detector reports low brightness (35/255), also consistent. However, the noise pattern suggests camera malfunction or lens obstruction rather than simply a dark scene.

Proximity: Unable to determine — visual feed is unreadable; no depth data available; closest obstacle distance unknown and therefore must be treated as potentially immediate.

Risk: hazard

Pilot suggested action: LAND

**Reasoning:** A corrupted or obstructed camera feed means Tier 3 cognitive reasoning has lost its primary sensory input. Operating a drone at ~1m indoors without reliable vision is a direct safety hazard — the system cannot guarantee the flight path is clear. Immediate controlled landing is the safest response until the camera feed is restored and verified.",
gpt4o,blocked_lens,hazard,1,1.55,39.44,hazard,284.93,2455.1,2781.0,0,yolo-world,disabled,disabled,0.0,caution,0,4,730,68,0.00467,"Description: The image appears to be very dark with significant noise, making it difficult to discern any objects or details.
Sensor note: Consistent with the local detector's advisory of low brightness.
Proximity: Unable to visually estimate proximity due to darkness; no depth_m data available.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,1,1.55,39.44,hazard,284.93,4199.6,4525.5,0,yolo-world,disabled,disabled,0.0,caution,0,4,3497,99,0.000584,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The low brightness suggests a lack of clear visual information, making it difficult to assess the environment accurately. 

Sensor note: consistent, as the local detector indicates low brightness and no YOLO detections were made. 

Proximity: Estimated closest object/person is likely beyond 1m, but visibility is too poor to confirm accurately. 

Risk: caution 

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,1,1.55,39.44,hazard,284.93,1742.1,2068.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,91,9.9e-05,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: Consistent with local detector's low brightness reading, but the image quality is so poor that no objects can be detected visually, despite YOLO reporting none.
Proximity: Indeterminate due to image quality.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,2,0.52,38.93,hazard,289.37,9297.2,9626.0,0,yolo-world,disabled,disabled,0.0,hazard,1,4,910,228,0.00615,"Description: The image shows severe visual noise/static — the entire frame is filled with random green, blue, and red pixel noise with no discernible scene content, suggesting the camera feed is corrupted, the lens is obscured, or the sensor is malfunctioning.
Sensor note: YOLO detects nothing, consistent with a corrupted/occluded feed; local detector reports low brightness (35/255), which partially aligns, but the noise pattern suggests active camera failure rather than simply a dark scene.
Proximity: Cannot be determined — no visual information is available; closest obstacle is unknown and potentially immediate.
Risk: hazard
Pilot suggested action: HOVER

**Rationale:** A fully corrupted or occluded camera feed is functionally equivalent to a covered lens — the drone has lost visual situational awareness entirely. Continuing flight without valid visual input risks collision with undetected obstacles or persons. The system should HOVER immediately and await camera restoration or initiate a controlled LAND if the feed does not recover within a defined timeout.",
gpt4o,blocked_lens,hazard,2,0.52,38.93,hazard,289.37,2518.4,2847.2,0,yolo-world,disabled,disabled,0.0,hazard,1,5,730,67,0.004655,"Description: The image appears to be filled with static noise, making it difficult to discern any objects or features.
Sensor note: Consistent with the local detector's report of low brightness; no YOLO detections.
Proximity: Unable to visually estimate proximity due to image noise.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,2,0.52,38.93,hazard,289.37,3520.5,3849.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,74,0.000569,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The lack of clarity suggests a low-light environment, which may obscure potential hazards.  
Sensor note: consistent  
Proximity: Estimated closest object/person is likely beyond 1m due to the dark conditions.  
Risk: caution  
Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,2,0.52,38.93,hazard,289.37,2257.2,2586.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,105,0.000103,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: The local detector reports a dark scene (brightness=35/255), which is consistent with the visually obscured and dark image. YOLO detections are none, which is also consistent as nothing is visible.
Proximity: Cannot determine proximity due to complete visual obstruction.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,3,0.61,37.28,hazard,288.05,7967.7,8293.6,0,yolo-world,disabled,disabled,0.0,hazard,1,4,910,224,0.00609,"Description: The image shows pure video noise/static — a randomized green-dominated pixel pattern with no discernible scene content, suggesting the camera feed is corrupted, disconnected, or the lens is fully obscured/covered.
Sensor note: YOLO detections return none, consistent with an unintelligible feed; local detector flags low brightness (35/255), partially consistent, but the noise pattern indicates camera failure rather than merely a dark scene — this is more severe than simple darkness.
Proximity: Unable to determine — no spatial information is retrievable from this corrupted feed; closest object distance is unknown and potentially zero (lens obstruction cannot be ruled out).
Risk: hazard
Pilot suggested action: LAND

**Reasoning:** A fully corrupted/static camera feed is classified as a lens-covered or sensor-failed condition under the hazard rule. With zero reliable visual data, the drone cannot navigate safely at any altitude. Immediate controlled landing is the only safe response to prevent collision with undetected obstacles or persons.",
